Resistance Gassensor,label
40819684,0
40107712,0
3799629,0
3606427.5,0
3436241.5,0
452896.9375,0
518218.625,0
559868.75,0
587830.0625,0
45877492,0
45166092,0
44521740,0
4167896.25,0
3919617.25,0
3727024.5,0
482677.34375,0
545987.75,0
589352.5,0
613724.875,0
50763748,0
50123136,0
47679884,0
4371398,0
4190281.25,0
3970916.25,0
502946.96875,0
563566.3125,0
604486.4375,0
266597.25,0
19309370,0
19040092,0
18665908,0
1715961.5,0
1653613.25,0
1605015.625,0
289183.84375,0
367684.03125,0
431430.375,0
485768.5,0
38550588,0
37947888,0
37109852,0
3327376,0
3170892.25,0
3067590.25,0
416683.625,0
481995.75,0
530707.4375,0
563566.3125,0
46217208,0
45542740,0
44161724,0
3962273.25,0
3799629,0
3613586.25,0
466514.8125,0
532778.375,0
572546.8125,0
602884.875,0
52533868,0
51000780,0
49723824,0
4392493.5,0
4114515.25,0
3919617.25,0
496725.6875,0
560788.625,0
600762.6875,0
631319.375,0
56508732,0
55327988,0
53270472,0
4584219.5,0
4360926.5,0
4102153.25,0
515090.53125,0
578858.125,0
620982.4375,0
275639.3125,0
20938020,0
20660782,0
20146326,0
1783195.5,0
1740017,0
1684210.5,0
296210.59375,0
385397.0625,0
448140.03125,0
500000,0
42404400,0
41755972,0
40479308,0
3509102.5,0
3319286.75,0
3189410.25,0
430885.75,0
491362.75,0
541655.625,0
576414.3125,0
51786644,0
50734276,0
49136644,0
4180658.25,0
3919617.25,0
3734670.5,0
480638.34375,0
542516.5625,0
589352.5,0
619854.75,0
57399604,0
56109588,0
54061456,0
4508530.5,0
4262227,0
4096000,0
505928.84375,0
573991.0625,0
613724.875,0
651814.125,0
63258688,0
60207624,0
59228196,0
4751740,0
